,an adversary,the target,an attacker,this attack,the attacker,the adversary,such as,access to,able to,type of,this type of,a target,in order to,does not,an application,for example,operating system,sensitive information,the victim,attempt to,number of,result in,this type of attack,information about,differs from,attack pattern,types of,the same,due to,target system,adversary uses,an adversary exploits,arbitrary code,the use of,the purpose of,as well as,a weakness in,ability to,this attack pattern,based on,operating systems,try to,part of,attempts to,this attack differs from,denial of service,denial of,this pattern,closed port,gain access,the original,access control,for instance,gain access to,a victim,an attempt to,the goal of,rather than,buffer overflow,engages in,error message,web application,an adversary engages,target application,web server,an adversary engages in,targeted application,the target software,target software,legitimate users,the content of,web browser,large number of,a large number of,web service,execute arbitrary,out of,rely on,an attacker exploits,flooding attack,social engineering,weaknesses in,to determine if,accomplished by,this attack targets,lead to,takes advantage of,a flooding attack,but instead,the targeted application,input validation,execute arbitrary code,associated with,malicious code,web services,malicious content,ip address,take advantage of,variety of,obtain sensitive,os fingerprinting,interacting with,resulting in,an open port,unauthorized access,malicious script,attack against,this pattern of attack,relies on,do not,some cases,a buffer overflow,depending on,service provider,attack leverages,closed ports,this type exploits,malicious application,remote host,into performing,this os fingerprinting probe,sensitive data,error messages,supply chain,the service provider,sql injection,http request,http get,icmp error message,client side,vulnerable web,the underlying,malicious logic,domain name,brute force,sequence number,third party,cross domain,cross site,credential prompt,icmp type,man in,the middle,cross site scripting,victim's browser,rfc 793,the victim's browser,the victim's,the adversary's
this attack targets,1,4,10,16,10,1,4,5,2,2,2,0,4,0,0,0,0,1,0,0,4,0,1,1,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,2,2,1,0,1,2,0,5,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lead to,7,6,7,3,6,5,5,4,3,2,2,3,0,0,2,3,0,1,1,1,0,2,2,0,1,1,0,0,1,2,0,0,2,0,0,0,2,0,0,1,0,1,0,3,1,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,1,1,0,3,0,1,1,0,0,0,15,0,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
takes advantage of,9,4,5,10,4,4,2,3,3,1,1,1,2,5,3,4,0,1,2,1,1,0,1,0,0,1,1,1,0,1,0,0,2,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,16,0,1,1,0,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a flooding attack,10,4,0,6,1,4,2,7,3,2,2,1,0,0,1,0,0,0,0,2,4,2,1,0,3,0,0,0,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,4,2,0,0,1,0,10,0,0,0,1,0,0,0,10,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
but instead,7,5,2,7,3,6,0,1,2,2,2,1,0,4,0,3,2,3,0,4,3,0,2,0,4,0,0,0,2,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,4,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,3,0,0,1,1,0,2,0,0,0,0,0,0,1,2,10,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
the targeted application,4,12,3,3,5,3,1,1,4,1,1,3,1,0,6,1,2,2,1,0,1,0,1,0,0,0,0,0,0,1,0,1,4,1,0,0,1,0,0,0,0,3,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,2,0,1,2,1,0,2,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,1,1,0,0,12,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
input validation,6,5,7,4,5,1,5,2,2,4,4,2,2,0,1,2,0,0,2,0,0,0,3,0,2,0,0,3,0,0,1,2,0,0,1,0,3,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,2,0,0,0,0,14,0,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
execute arbitrary code,1,3,3,4,3,3,3,1,4,0,0,0,3,0,3,1,2,1,2,0,1,1,0,0,1,1,1,1,0,0,0,1,10,1,0,0,1,1,1,0,0,2,1,1,0,2,2,2,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,10,1,1,0,0,0,0,0,0,0,1,2,0,0,2,0,10,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
associated with,6,5,3,7,4,2,4,2,1,2,2,2,0,1,2,2,0,0,0,4,2,2,0,2,1,0,0,0,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,3,0,2,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,11,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious code,3,3,8,3,5,1,4,5,3,1,1,1,1,2,1,2,1,1,4,0,0,1,0,0,0,1,0,1,2,3,0,0,1,0,1,1,0,2,0,1,0,2,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,15,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
web services,4,0,3,6,2,0,4,2,2,2,2,1,1,1,2,0,0,0,0,2,1,2,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,9,1,2,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,3,0,9,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious content,2,2,3,5,6,1,2,2,4,4,4,1,3,0,2,3,0,1,2,1,1,1,2,2,0,0,0,1,0,0,0,0,1,1,0,2,0,1,0,0,0,2,0,1,0,2,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ip address,7,6,2,3,3,6,3,1,1,4,4,3,2,1,0,0,2,1,2,1,0,0,1,2,1,1,1,2,2,1,0,0,0,0,0,1,0,1,0,3,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
take advantage of,4,1,7,6,5,1,3,6,2,0,0,2,7,0,1,3,0,1,1,1,1,1,0,0,1,1,2,1,1,0,1,1,0,0,0,0,3,0,1,1,0,3,1,0,0,1,1,1,0,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
variety of,6,5,3,3,3,5,6,3,0,3,2,2,1,0,0,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,2,1,0,0,1,0,0,1,1,1,1,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,12,0,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
obtain sensitive,8,3,1,3,1,5,1,2,1,2,2,1,0,0,1,2,2,6,1,3,0,3,2,1,0,0,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
os fingerprinting,2,4,3,0,1,0,2,0,1,3,2,1,2,2,0,0,12,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
interacting with,8,6,3,3,2,4,2,1,1,4,2,2,1,2,1,3,2,4,2,2,0,1,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
resulting in,7,3,3,4,4,2,1,3,1,1,1,2,0,0,3,4,0,0,0,3,2,3,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,1,1,2,0,0,1,0,0,0,13,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an open port,6,6,2,0,0,2,0,3,0,2,1,1,2,0,0,0,3,0,0,3,1,0,1,1,0,0,5,1,2,2,4,0,0,0,0,1,0,3,0,2,3,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,1,0,0,2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
unauthorized access,2,4,7,3,4,0,4,10,3,0,0,1,1,2,2,2,0,1,1,0,2,1,0,1,2,2,0,1,1,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,1,1,1,1,0,1,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious script,6,2,2,3,0,3,4,1,1,3,3,0,0,2,0,1,0,0,5,1,0,0,3,0,0,1,0,3,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,1,1,0,0,0,4,0,0,3,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
attack against,6,1,7,2,4,2,4,0,2,2,2,3,0,4,0,1,0,1,0,2,3,0,1,0,1,1,2,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,2,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this pattern of attack,10,3,1,1,1,5,3,2,3,0,0,1,0,1,1,0,1,0,0,0,2,0,0,0,0,1,0,0,1,2,0,1,1,1,0,0,1,1,0,0,0,0,5,1,0,0,0,12,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
relies on,1,8,5,8,6,3,3,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,11,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do not,5,3,4,2,2,2,2,0,1,3,2,3,3,2,1,1,0,1,1,0,1,1,2,1,2,1,1,1,1,1,1,2,1,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
some cases,5,3,4,3,3,3,5,3,2,1,1,3,1,2,1,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,10,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a buffer overflow,0,3,6,6,4,0,2,2,3,1,1,0,2,1,1,2,1,1,1,1,0,1,1,0,0,2,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depending on,6,5,1,2,1,4,1,4,2,0,0,0,2,2,1,1,3,0,2,0,0,1,0,1,0,0,0,0,0,4,1,2,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
service provider,3,0,2,4,3,0,2,1,1,2,2,0,1,1,2,0,0,1,0,1,1,3,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,5,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attack leverages,3,5,4,5,4,0,2,0,1,3,3,3,2,0,1,1,1,0,0,0,0,1,3,0,0,1,0,3,0,1,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closed ports,6,4,2,0,1,2,1,4,1,2,2,2,1,1,0,0,2,0,0,3,0,0,0,0,0,0,5,1,2,1,4,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
this type exploits,1,5,5,5,4,2,5,1,1,2,2,0,0,0,0,3,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
malicious application,8,3,1,2,1,3,0,1,1,3,3,1,0,1,1,2,2,4,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
remote host,3,3,4,1,0,2,3,0,0,1,1,0,0,2,0,1,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,4,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,9,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
into performing,6,6,4,0,3,6,2,2,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this os fingerprinting probe,0,3,3,0,1,0,1,0,0,1,1,0,1,2,0,0,10,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
sensitive data,5,3,3,2,1,6,5,2,0,0,0,1,0,1,2,0,0,0,2,0,0,3,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
error messages,4,6,1,1,4,2,1,0,3,3,2,3,0,1,0,0,3,1,0,1,1,1,1,1,1,0,1,0,0,0,2,0,0,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply chain,8,1,5,0,2,0,3,2,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the service provider,3,0,1,3,2,0,1,1,1,2,2,0,0,1,2,0,0,0,0,1,1,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sql injection,0,3,8,3,3,1,1,2,2,0,0,0,1,2,0,1,1,1,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
http request,2,1,1,2,2,1,3,1,1,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
